#RNA-seq raw count
len_rna	es1_rna	es2_rna	es3_rna	npc1_rna	npc2_rna	npc3_rna
AL136961.1	1188	0	0	0	0	0	0
TM9SF2	5524	3882	4711	5016	4345	6132	6096
LINC01232	6199	35	41	39	35	71	46
AL139035.1	565	1	1	0	0	0	0
LINC00449	872	9	14	20	13	35	15
LINC01039	650	0	1	0	0	0	1
CFL1P8	475	0	0	0	1	0	0
AL139035.2	1170	0	0	0	0	0	0
CLYBL	7227	133	154	144	278	450	374
MIR4306	91	2	3	1	0	1	1
CLYBL-AS2	695	1	0	0	1	0	4
CLYBL-AS1	709	0	0	0	0	1	0
AL137139.1	9480	10	13	8	23	31	26
ZIC5	4639	1170	1577	1723	1716	2264	2125
AL355338.2	762	15	29	7	37	72	34
ZIC2	3290	3331	4477	2715	6934	8582	7799
LINC00554	3011	0	1	0	1	0	0
NDUFA12P1	406	0	0	0	0	0	0
AL355338.1	2077	170	217	113	141	278	176
ASNSP3	1306	1	1	2	1	4	4
PCCA	7288	738	792	706	1222	1735	1720
RPL15P18	612	0	2	1	2	3	5
AL356575.1	283	0	0	0	0	0	0
AL353697.1	1204	0	0	0	0	0	0
PCCA-AS1	995	0	0	0	0	0	0
GGACT	3477	40	60	24	87	140	108
AL356966.1	3635	8	9	7	6	12	20
AL136526.1	2203	1	2	1	1	4	4
RPS26P47	348	0	0	0	1	0	1
TMTC4	6272	1092	1360	1083	1475	2097	2004
COX5BP6	211	7	9	4	12	20	11
NALCN-AS1	2846	0	3	6	1	1	6
ARF4P3	509	0	0	0	0	0	0
LINC00411	2106	0	0	0	0	0	0
NALCN	9156	53	76	61	10	10	18
ITGBL1	6176	1	2	0	0	2	0
FGF14	13759	43	70	61	3	9	8
AL160153.1	429	0	0	0	0	0	0
RNU1-24P	165	1	0	0	0	0	0
HMGB3P7	611	0	0	0	0	0	0
MIR2681	105	0	0	0	0	0	0
LIPT1P1	1186	0	0	0	0	0	0
RNY1P2	117	0	0	0	0	0	0
MIR4705	71	0	0	0	0	0	0
RPL39P29	157	0	0	0	0	0	0
FGF14-IT1	2379	3	1	0	7	8	8
AL356266.1	483	0	0	0	1	0	0
FGF14-AS1	537	0	0	0	0	0	0
FGF14-AS2	1074	29	53	25	80	83	99
LINC00555	442	0	0	0	0	0	0
AL158063.1	536	0	0	0	0	0	3
TPP2	8793	1757	2281	2238	1727	2364	2405
METTL21C	1088	0	0	0	0	1	1
CCDC168	21466	1	4	0	1	1	7
LINC00283	1947	0	0	1	0	0	0
AL157769.1	867	0	0	0	0	0	0
TEX30	2256	120	146	136	144	200	214
POGLUT2	2336	575	705	627	559	767	691
BIVM-ERCC5	5709	0	0	0	0	0	0
BIVM	7952	104	131	154	125	133	171
ERCC5	8075	32	37	28	31	44	46
METTL21EP	2337	1	1	0	2	1	1
AL137246.1	977	0	0	0	0	0	2
AL137246.2	662	0	0	0	0	0	0
SLC10A2	3779	0	0	0	0	0	0
AL162717.1	1912	0	0	0	0	0	0
LINC01309	1669	0	0	0	0	0	0
ATP6V1G1P7	349	0	0	0	0	0	0
AL136524.1	1486	0	0	0	0	0	0
RPL7P45	743	0	0	0	0	0	0
AL138954.1	271	0	0	0	0	0	0
DAOA-AS1	2482	0	0	0	0	0	0
RF02090	201	0	0	0	0	0	0
DAOA	2295	0	0	0	0	0	0
AL359745.1	760	0	0	0	0	0	0
LINC00343	15917	0	0	0	0	0	0
AL138701.1	3263	8	13	13	15	14	32
RNA5SP38	119	0	0	1	0	0	0
AL139379.1	2370	0	0	1	0	0	0
LINC00460	4232	0	0	0	0	0	0
RPL35P9	350	0	0	0	0	0	0
EFNB2	5005	1331	1700	1712	3141	4340	4039
AL138689.2	10043	0	0	0	0	0	0
AL138689.1	668	10	10	10	17	35	25
ARGLU1	5783	1021	1433	1238	2268	2876	2620
LINC00551	6122	6	16	20	15	30	29
LINC00443	1495	0	0	0	1	3	0
ATP5MC1P5	411	0	0	0	0	0	0
AL163534.1	2273	0	0	0	0	0	0
AL162574.2	657	0	0	0	1	1	1
PPIAP24	471	0	0	0	0	0	0
AL162574.1	950	0	0	0	0	1	0
AL162574.3	612	0	0	0	0	0	0
AL354741.1	1017	0	0	0	0	0	0
FAM155A	8503	133	181	161	38	39	26
SNORD31B	69	0	1	0	0	0	0
AL445649.1	691	21	28	8	13	15	12
MIR1267	78	0	0	3	0	0	0
FAM155A-IT1	819	10	24	24	1	3	5
AL359436.1	580	0	1	0	0	0	1
AL136964.1	2990	4	8	1	2	0	1
LIG4	4387	71	89	108	113	149	142
ABHD13	5313	199	308	362	345	424	534
TNFSF13B	3059	2	2	3	3	4	5
AL157762.1	415	0	0	1	3	4	0
RNA5SP39	120	0	0	0	0	0	0
AL138694.1	3376	0	0	0	0	0	0
HCFC2P1	1592	0	0	0	0	0	0
MYO16	8816	2	1	8	6	11	15
MYO16-AS2	436	0	0	0	0	0	0
MYO16-AS1	580	0	0	0	1	0	0
AL161431.1	5087	7	9	3	37	40	41
LINC00370	1337	0	0	0	2	0	0
LINC01067	664	0	0	0	0	0	0
LINC00399	414	0	0	0	0	0	0
AL163541.1	1515	6	0	1	5	9	5
LINC00676	474	0	0	0	0	0	0
IRS2	8156	494	676	439	1244	1530	1474
AL162497.1	518	0	1	0	0	0	0
AL355810.1	552	0	0	0	0	0	0
RN7SKP10	325	0	0	0	0	0	0
AL355974.1	1708	0	0	0	0	0	0
AL390755.1	4353	0	0	0	2	6	1
AL355974.2	467	0	0	0	1	0	0
LINC00396	439	0	0	0	0	0	0
RN7SL783P	301	0	0	0	0	0	0
AL390755.2	2027	1	0	0	5	2	7
AL390755.3	914	0	3	0	2	3	2
COL4A1	14662	2909	3688	2611	5774	7673	7167
AL161773.1	863	3	7	4	3	6	8
COL4A2	19293	5022	6853	3335	8558	11874	9888
MIR8073	72	0	2	0	5	2	1
COL4A2-AS2	1522	0	0	0	0	0	0
COL4A2-AS1	540	0	0	0	0	0	0
RAB20	1507	189	200	127	136	182	176
AL139385.1	3272	9	4	5	32	25	27
NAXD	2847	778	1011	430	1204	1755	1544
CARS2	10436	716	884	601	884	1234	1070
ING1	6388	407	555	446	598	769	690
RPL21P107	460	0	0	0	0	0	0
LINC00567	3409	1	0	0	0	0	0
LINC00346	6265	10	7	8	25	33	46
ANKRD10	4563	1657	2068	1894	2409	3076	3025
ANKRD10-IT1	800	93	123	75	161	185	215
AL442128.2	1824	18	17	10	38	42	40
PARP1P1	3026	0	0	0	0	0	0
AL442128.1	644	0	0	0	4	0	0
LINC00431	1189	4	4	3	14	8	4
LINC00368	650	0	0	0	0	0	0
AL353704.2	344	0	0	0	0	1	0
ARHGEF7-AS2	1239	2	1	1	5	7	4
ARHGEF7	11768	1785	2226	1809	3248	4348	3959
ARHGEF7-IT1	804	2	2	0	4	3	3
ARHGEF7-AS1	321	0	0	0	0	0	1
AL353704.1	1311	9	8	1	7	33	20
AL390754.1	582	0	0	0	0	0	0
TEX29	930	1	2	1	4	8	0
AL359649.1	2130	0	0	0	0	0	0
LINC02337	374	0	0	0	0	0	0
LINC00354	2574	3	3	3	12	9	7
RF00287	61	0	0	0	0	0	0
SOX1-OT	3403	1	3	2	49	61	67
SOX1	2842	62	75	52	1314	1686	1485
AL356961.1	1923	0	0	0	0	3	0
LINC00404	428	3	0	0	14	23	20
LINC01070	2829	0	0	0	0	0	2
LINC01043	6897	0	0	0	0	0	0
LINC01044	657	0	0	0	0	0	0
SPACA7	1078	0	0	0	0	0	0
TUBGCP3	7248	836	1026	814	1562	2240	2155
AL139384.2	3590	28	37	27	48	73	53
ATP11AUN	2241	0	0	0	0	0	0
AL139384.1	3047	16	16	18	9	20	12
ATP11A	13733	4774	5387	4188	5534	7520	6952
ATP11A-AS1	2192	0	0	0	0	0	0
AL356752.1	593	5	7	4	9	9	15
MCF2L	23158	923	1273	752	2731	3585	3171
AL356740.1	1297	15	10	5	4	2	4
MCF2L-AS1	712	12	13	3	5	2	10
AL356740.2	647	1	2	4	5	11	2
AL356740.3	649	0	0	0	3	8	4
F7	3795	0	3	0	3	9	5
F10	2356	0	3	5	43	39	47
F10-AS1	417	0	0	0	1	0	0
KARSP2	1639	1	0	0	2	0	3
AL137002.2	2238	7	15	4	24	25	26
PROZ	1675	0	0	0	1	2	4
AL137002.1	182	4	1	2	1	3	3
PCID2	6243	1648	1871	1542	1725	2357	2196
CUL4A	7813	2630	3266	3134	2696	3624	3449
MIR8075	80	2	4	2	2	4	4
LDHBP1	1119	2	3	0	2	1	2
LAMP1	5741	3515	4581	2574	3969	5407	4623
GRTP1	2916	855	1146	642	663	911	872
AL136221.1	509	27	23	22	27	35	38
GRTP1-AS1	1481	1	1	0	0	0	0
ADPRHL1	10924	44	53	31	31	23	17
DCUN1D2	4345	518	659	528	650	1024	860
DCUN1D2-AS	373	1	0	0	0	1	0
RNU1-16P	164	6	9	13	17	18	16
TMCO3	10381	1096	1289	1059	1690	2416	2244
AL442125.2	418	6	9	15	73	77	58
AL442125.1	3362	43	54	37	218	249	285
TFDP1	3744	1710	2246	1604	1882	2541	2482
ATP4B	1488	0	0	0	0	0	0
GRK1	4878	0	0	0	0	5	1
LINC00552	2579	1	1	0	1	1	3
TMEM255B	7287	36	59	22	38	57	58
GAS6-AS1	7169	1	1	0	18	17	13
GAS6	6015	661	862	380	2399	3240	2814
GAS6-DT	2009	7	13	11	50	51	44
BX072579.1	724	0	0	0	1	3	1
LINC00454	2838	0	0	0	0	0	0
BX072579.2	1570	0	0	0	0	0	0
LINC00452	3653	0	0	0	1	0	2
LINC00565	2331	1	0	0	0	0	0
C13orf46	3836	2	3	5	5	4	1
RASA3	4775	714	952	559	347	503	422
RASA3-IT1	380	0	6	5	2	1	0
CFAP97D2	2353	0	0	0	0	0	0
AL160396.1	575	0	0	0	0	0	0
CDC16	3959	1946	2515	2287	1607	2321	2209
MIR548AR	57	0	3	1	9	5	5
MIR4502	81	0	2	0	1	1	1
AL160396.2	1202	0	0	0	0	0	0
UPF3A	5755	586	845	717	681	984	807
CLCP2	421	0	0	1	0	5	3
CHAMP1	5615	955	1247	1080	1790	2151	2128
LINC01054	514	0	1	1	0	2	0
RPL23AP97	471	2	0	0	7	9	9
RF00002	911	1	0	0	0	0	1
CR383658.1	734	0	0	0	0	0	0
RNU6-458P	107	0	0	0	0	0	0
CR383658.2	1525	0	0	0	0	0	0
BNIP3P6	499	0	0	0	0	0	0
CR383656.10	498	0	0	0	0	0	0
CR383656.7	145	0	0	0	0	0	0
CR383656.13	406	0	0	0	0	0	0
CR383656.9	42	0	0	0	0	0	0
OR11H12	1085	0	0	0	0	0	0
CR383656.6	174	0	0	0	0	0	0
ARHGAP42P5	2936	0	0	0	0	0	0
LINC02297	1493	0	0	0	0	0	0
CR383656.5	394	0	0	0	0	0	0
CR383656.1	2254	0	0	2	0	0	1
CR383656.12	563	0	0	0	0	0	0
CR383656.8	1178	0	0	0	0	0	0
CR383656.11	513	0	0	0	0	0	0
CR383656.3	122	0	0	0	0	0	0
RPL22P20	377	0	0	0	0	0	0
CR383656.4	1340	0	0	0	0	0	0
CR383656.2	183	0	0	0	0	0	0
NF1P10	751	0	0	0	0	0	0
AL929601.4	1341	0	0	0	0	0	0
NF1P7	1530	0	0	0	0	0	0
MED15P1	1188	0	0	0	0	0	0
AL929601.1	871	0	0	0	0	0	0
AL929601.2	381	0	0	0	1	0	0
POTEM	2231	0	0	0	0	0	0
AL929601.3	2086	0	0	0	0	0	0
RNU6-1239P	107	0	0	0	0	0	0
AL589182.1	796	0	0	0	0	0	0
GRAMD4P4	1115	0	0	0	0	0	0
DUXAP9	4846	0	0	0	0	0	0
AL589182.3	2144	0	0	0	0	0	0
AL589743.4	7344	0	0	0	0	0	0
NBEAP5	693	0	0	0	0	0	0
AL589182.2	1049	0	0	0	0	0	0
OR11H13P	979	0	0	0	0	0	0
AL589743.3	517	0	0	0	0	0	0
AL589743.6	117	0	0	0	0	0	0
AL589743.2	1048	0	0	0	0	0	0
AL589743.7	647	0	0	0	0	0	0
AL589743.1	2712	0	0	0	0	0	0
AL589743.5	1050	1	0	1	0	0	0
DUXAP10	12311	0	0	0	0	0	0
BMS1P17	1130	0	0	0	0	0	0
AL929602.1	2144	0	0	0	0	0	0
LINC01297	4414	0	0	0	0	0	0
GRAMD4P3	1669	0	0	0	0	0	0
POTEG	2509	0	0	0	0	0	0
AL512624.2	2566	0	0	0	0	0	0
RNU6-1268P	107	0	0	0	0	0	0
MED15P6	988	0	0	0	0	0	0
NF1P4	1681	0	0	0	0	0	0
AL512310.12	636	0	0	0	0	0	0
AL512624.1	469	0	0	0	0	0	0
NF1P11	1282	0	0	0	0	0	0
AL512310.4	1335	0	0	0	0	0	0
AL512310.11	1837	0	0	0	0	0	0
AL512310.9	120	0	0	0	0	0	0
AL512310.5	411	0	0	0	0	0	0
AL512310.6	515	0	0	0	0	0	0
AL512310.7	1175	0	0	0	0	0	0
AL512310.10	563	0	0	0	0	0	0
AL512310.8	2268	0	0	0	0	0	0
AL512310.3	1493	0	0	0	0	0	0
ARHGAP42P4	2934	0	0	0	0	0	0
AL512310.2	172	0	0	0	0	0	0
OR11H2	1085	0	0	0	0	0	0
OR4N2	3699	0	0	0	0	0	0
OR11K2P	948	0	0	0	0	0	0
AL512310.1	2165	0	0	0	0	0	0
OR4H12P	907	0	0	0	0	0	0
OR4M1	3545	0	0	0	0	0	0
OR4N1P	949	0	0	0	0	0	0
OR4K6P	897	0	0	0	0	0	0
OR4K3	947	0	0	0	0	0	0
OR4K2	8694	0	0	0	0	0	0
OR4K4P	684	0	0	0	0	0	0
AL391156.1	554	0	0	0	0	0	0
OR4K5	1078	0	0	0	0	0	0
OR4K1	1525	0	0	0	0	0	0
OR4K16P	1506	0	0	0	0	0	0
OR4K15	1216	0	0	0	0	0	0
OR4Q2	2778	0	0	0	0	0	0
OR4K14	1245	0	0	0	0	0	0
OR4K13	5980	0	0	0	0	0	0
OR4U1P	912	0	0	0	0	0	0
OR4L1	939	0	0	0	0	0	0
RNA5SP380	98	0	0	0	0	0	0
OR4T1P	911	0	0	0	0	0	0
OR4K17	5129	0	0	0	0	0	0
OR4N5	2187	0	0	0	0	0	0
PSMB7P1	514	0	0	0	0	0	0
GTF2IP22	182	0	0	0	0	0	0
OR11G1P	968	0	0	0	0	0	0
OR11P1P	374	0	0	0	0	0	0
OR11G2	4513	0	0	0	0	0	0
OR11H5P	1325	0	0	0	0	0	0
OR11H6	993	0	0	0	0	0	0
OR11H7	945	0	0	0	0	0	0
OR11H4	1657	0	0	0	0	0	0
TTC5	9672	742	931	892	1015	1485	1272
AL356019.2	3829	38	42	42	43	58	70
AL356019.1	748	0	0	0	0	1	0
CCNB1IP1	3680	3663	4708	3783	6097	8514	7654
AL355075.6	1021	0	0	0	0	0	0
SNORA79B	148	54	58	23	52	77	59
SNORD126	77	12	28	20	12	12	19
AL355075.4	638	2	0	2	2	4	1
RPPH1	333	0	0	0	0	0	0
PARP2	4096	583	770	629	771	1114	1085
AL355075.1	468	0	0	0	0	0	0
TEP1	11400	583	765	506	1478	1920	1875
RNA5SP382	112	0	0	0	0	0	0
KLHL33	5501	3	1	0	2	1	0
AL355075.5	992	1	0	1	2	0	0
OSGEP	5031	919	1143	1024	1112	1511	1380
AL355075.2	478	0	0	0	0	0	0
APEX1	1886	6862	9400	6974	6022	8179	7568
PIP4P1	3803	1009	1265	876	1317	1684	1569
PNP	4139	3926	5297	3565	2102	2907	2743
AL355075.3	492	0	0	0	0	0	0
RNASE10	1200	0	0	0	0	0	0
PTCD2P1	1136	0	0	0	0	0	0
SETP1	845	0	0	0	0	0	0
RNASE9	2710	8	7	11	0	3	0
AL163195.3	2467	0	0	1	0	0	0
RNASE11	1851	0	0	0	0	0	0
AL163195.2	2769	3	1	0	0	0	0
RNASE12	631	0	0	0	0	0	0
AL163195.1	348	0	0	0	0	0	0
OR6S1	996	0	0	0	0	0	0
ANG	1430	12	17	9	8	18	12
RNASE4	2154	0	2	1	0	0	0
AL163636.2	1498	0	0	0	0	0	0
AL163636.1	915	0	0	2	2	2	2
RANBP20P	2104	0	0	0	1	0	0
EDDM3DP	434	0	0	0	0	0	0
EDDM3A	927	0	0	0	0	0	0
EDDM3B	896	0	0	0	0	0	0
RNASE6	844	1	0	0	0	1	0
AL133371.2	294	0	0	0	0	0	0
RNASE1	1083	4	2	1	24	17	37
AL133371.3	1027	7	10	2	2	1	1
AL133371.1	764	5	2	3	3	0	0
RNASE3	720	0	0	0	0	0	1
AL355922.4	351	0	0	0	1	0	2
AL355922.3	449	0	1	0	0	0	2
AL355922.1	337	0	0	0	0	0	0
RNASE2	720	0	0	0	0	0	0
RN7SL189P	289	0	0	0	0	0	0
AL355922.2	578	0	3	5	1	1	1
METTL17	4449	1598	1971	1232	1830	2345	2196
AL161668.3	1936	1	0	2	1	0	3
SLC39A2	1575	0	0	0	4	11	14
NDRG2	7550	704	925	510	87	111	100
MIR6717	73	0	0	0	0	0	0
TPPP2	2475	1	2	2	0	0	0
AL161668.4	593	2	8	0	0	1	3
AL161668.2	492	0	0	0	0	0	0
RNASE13	1631	2	0	0	0	0	1
RNASE7	1409	0	0	0	0	0	0
RNASE8	634	0	0	0	0	0	0
ARHGEF40	8194	3650	4788	2205	4518	5993	5153
ZNF219	6663	1777	2406	883	3525	4810	3627
TMEM253	1961	31	57	38	80	89	73
AL161668.1	358	0	2	0	1	5	1
CKAP2P1	2049	0	0	0	0	0	0
RNU6-252P	107	0	0	0	0	0	0
OR5AU1	8409	0	0	0	0	0	0
SMARCE1P3	1231	0	0	0	0	0	0
AL157687.1	619	0	0	0	0	0	1
LINC00641	5715	330	409	463	514	686	730
HNRNPC	7309	25156	31400	28088	27990	39644	37043
RPGRIP1	5470	5	14	15	1	7	3
SUPT16H	6900	5353	6734	7872	5884	8386	8605
AL135744.1	629	11	8	11	16	16	19
CHD8	20953	6758	7481	7734	8327	11605	11081
SNORD9	104	5	5	4	14	12	7
SNORD8	110	0	0	0	0	0	0
AL161747.1	358	0	0	0	0	0	0
EIF4EBP1P1	341	0	0	0	0	0	0
RN7SL650P	299	0	0	0	0	0	0
RAB2B	3597	528	744	558	1449	1935	1936
TOX4	7091	2037	2750	2320	2790	3723	3700
METTL3	5861	1584	2115	1546	1916	2732	2507
SALL2	5383	16021	19891	14406	23629	29868	27162
AL161747.2	472	0	0	0	0	0	0
RBBP4P5	1266	0	0	0	0	0	0
OR10G3	2640	0	0	0	0	0	0
AC243972.2	991	0	0	0	0	0	0
OR10G1P	944	0	0	0	0	0	0
UBE2NP1	458	0	0	0	0	0	0
TRAV1-1	392	0	0	0	0	0	0
OR10G2	1105	0	0	0	0	0	0
TRAV1-2	402	0	0	1	0	0	0
ARL6IP1P1	610	0	0	0	0	0	0
OR4E2	2855	0	0	0	0	0	1
OR4E1	3742	0	0	0	0	0	0
AC243972.3	198	0	0	0	0	0	0
TRAV2	348	0	0	0	0	0	0
AC243972.1	570	0	0	0	0	0	0
TRAV3	519	0	1	0	1	0	1
TRAV4	395	0	0	0	0	0	0
TRAV5	352	4	0	0	0	0	0
RPL4P1	1278	0	0	0	0	0	0
TRAV6	404	0	0	0	0	0	0
TRAV7	337	0	0	0	0	0	0
TRAV8-1	473	0	0	0	0	0	0
TRAV9-1	338	0	0	0	0	0	0
TRAV10	379	0	0	0	0	0	0
TRAV11	339	0	0	0	0	0	0
TRAV12-1	340	0	0	0	0	0	0
TRAV8-2	566	0	0	0	0	0	0
TRAV8-3	341	0	0	1	4	3	6
TRAV13-1	360	0	0	0	0	0	0
TRAV12-2	445	0	0	0	0	0	0
TRAV8-4	469	0	0	0	0	0	0
TRAV8-5	341	0	1	0	0	0	0
TRAV13-2	410	0	0	0	0	0	0
TRAV14DV4	425	0	0	0	0	0	0
TRAV9-2	394	0	0	0	0	0	0
TRAV15	249	0	0	0	0	0	0
AC245505.1	224	0	0	0	0	0	0
TRAV12-3	399	0	0	0	0	0	0
TRAV8-6	561	0	0	0	0	0	0
TRAV16	329	0	0	0	0	0	0
TRAV17	484	0	0	0	0	0	0
TRAV18	440	7	7	1	11	12	7
TRAV19	467	0	1	0	3	2	3
AC245505.2	3055	0	0	0	1	1	0
TRAV20	406	0	0	0	0	0	0
TRAV21	343	0	0	0	0	0	0
AC245505.3	358	0	0	0	0	0	0
TRAV22	464	0	0	0	0	0	0
TRAV23DV6	409	0	0	0	0	0	0
TRDV1	365	0	0	0	0	0	0
TRAV24	343	0	0	0	0	0	0
TRAV25	403	0	0	1	0	0	0
TRAV26-1	537	0	0	0	0	0	0
TRAV8-7	341	0	0	0	0	2	0
TRAV27	425	0	0	0	0	0	0
TRAV28	323	0	0	0	0	0	0
TRAV29DV5	469	0	0	0	0	0	0
TRAV30	337	1	0	2	0	0	0
TRAV31	342	0	0	0	0	0	0
TRAV32	340	0	0	0	0	0	0
TRAV33	338	0	0	0	0	0	0
AC244502.1	9092	1	0	0	0	5	2
TRAV26-2	327	0	0	0	0	0	0
TRAV34	349	0	0	0	0	0	0
TRAV35	330	0	0	0	0	0	0
TRAV36DV7	356	0	1	0	0	0	0
TRAV37	342	0	0	0	1	0	0
TRAV38-1	353	0	0	1	0	0	0
TRAV38-2DV8	395	0	0	0	0	0	0
TRAV39	331	0	0	0	0	0	0
TRAV40	317	0	0	0	0	0	0
TRAV41	336	0	0	0	0	0	0
AC244502.2	851	0	1	0	0	0	0
AC244502.3	844	0	0	0	0	0	3
TRDV2	520	0	0	0	0	0	0
TRDD1	8	0	0	0	0	0	0
TRDD2	9	0	0	0	0	0	0
TRDD3	13	0	0	0	0	0	0
TRDJ1	51	0	0	0	1	0	0
TRDJ4	48	0	0	0	0	0	0
TRDJ2	54	0	0	0	0	0	0
TRDJ3	59	0	0	0	0	0	0
TRDC	720	0	3	0	1	4	1
TRDV3	425	0	0	0	0	0	0
TRAJ61	60	0	0	0	0	0	0
TRAJ60	57	0	0	0	0	0	0
TRAJ59	54	0	0	0	0	0	0
TRAJ58	63	0	0	0	0	0	0
TRAJ57	63	0	0	0	0	0	0
TRAJ56	62	0	0	0	0	0	0
TRAJ55	57	0	0	0	0	0	0
TRAJ54	60	0	0	0	0	0	0
TRAJ53	66	0	0	0	0	1	0
TRAJ52	69	0	0	0	0	0	0
TRAJ51	63	0	0	0	0	0	0
TRAJ50	60	0	0	0	0	0	0
TRAJ49	56	0	0	0	0	0	0
TRAJ48	63	0	0	0	0	0	0
TRAJ47	57	0	0	0	0	0	0
TRAJ46	63	0	0	0	0	0	0
TRAJ45	66	0	0	0	0	0	0
TRAJ44	63	0	0	0	0	0	1
TRAJ43	54	0	0	0	0	0	0
TRAJ42	66	0	0	0	0	0	0
TRAJ41	62	0	0	0	0	0	0
TRAJ40	61	0	0	0	0	0	0
TRAJ39	63	0	0	0	0	0	0
TRAJ38	62	0	0	0	0	0	0
TRAJ37	65	0	0	0	0	0	0
TRAJ36	58	0	0	0	0	0	0
TRAJ35	59	0	0	0	0	0	0
TRAJ34	58	0	0	0	0	0	0
TRAJ33	57	0	0	0	0	0	0
TRAJ32	66	0	0	0	0	0	0
TRAJ31	57	0	0	0	0	0	0
TRAJ30	57	0	0	0	0	0	0
TRAJ29	60	0	0	0	0	0	0
TRAJ28	66	0	0	0	0	0	0
TRAJ27	59	0	0	0	0	0	0
TRAJ26	60	0	0	0	0	0	0
TRAJ25	60	0	0	0	0	0	0
TRAJ24	63	0	0	0	0	0	0
TRAJ23	63	0	0	0	0	0	0
TRAJ22	63	0	0	0	0	0	0
TRAJ21	55	0	0	0	0	0	0
TRAJ20	57	0	0	0	0	0	0
TRAJ19	60	0	0	0	0	0	0
TRAJ18	66	0	0	0	0	0	0
TRAJ17	63	0	0	0	0	0	0
TRAJ16	60	0	0	0	0	0	0
TRAJ14	52	0	0	0	0	0	0
TRAJ13	63	0	0	0	0	0	0
TRAJ12	60	0	0	0	0	0	0
TRAJ11	60	0	0	0	0	0	0
TRAJ10	64	0	0	0	0	0	0
TRAJ9	61	0	0	0	0	0	0
TRAJ8	60	0	0	0	0	0	0
TRAJ7	59	0	0	0	0	0	0
TRAJ6	62	0	0	0	0	0	0
TRAJ5	60	0	0	0	0	0	0
TRAJ4	63	0	0	0	0	0	0
TRAJ3	62	0	0	0	0	0	0
TRAJ2	66	0	0	0	0	0	0
TRAJ1	62	0	0	0	0	0	0
TRAC	978	1	3	0	0	0	4
LINC02332	386	0	0	0	0	1	0
AC243965.1	781	0	0	0	1	2	1
DAD1	761	815	1117	436	1382	1779	1698
AC243965.2	2671	12	9	8	5	7	6
ABHD4	4070	1195	1553	993	897	1106	949
OR6J1	4165	0	0	0	0	0	0
AL160314.1	438	0	1	0	2	0	0
AL160314.2	2513	8	7	14	33	31	39
OR6E1P	923	0	0	0	0	0	0
AL160314.3	767	0	2	0	4	4	2
RF00588	69	0	0	0	1	1	0
OXA1L	4497	2500	3084	1717	2765	3693	3264
SLC7A7	5131	115	111	140	185	228	214
MRPL52	3213	341	527	274	485	627	520
MMP14	4458	3304	4531	3215	3829	5063	4624
LRP10	7118	412	583	244	473	573	469
REM2	2240	41	60	44	179	223	210
RBM23	14022	1347	1719	1069	2153	3116	2680
PRMT5-AS1	3194	17	12	4	15	32	25
PRMT5	3276	5178	6717	4432	5063	6931	6344
AL132780.1	1803	1	0	0	12	20	15
HAUS4	2539	640	789	552	1304	1751	1649
AL132780.3	835	0	0	0	0	0	0
MIR4707	80	0	0	0	0	0	0
AJUBA	5885	690	811	480	6564	8436	7666
AL132780.2	1462	7	13	14	34	54	46
C14orf93	4257	209	278	166	338	433	426
AL132780.5	1625	18	21	18	33	34	43
PSMB5	1765	3758	5177	2039	4035	5818	5192
AL132780.4	1135	41	49	69	52	109	77
PSMB11	1165	0	0	0	0	0	0
CDH24	3748	619	815	309	1724	2162	2006
ACIN1	9110	4982	6642	4871	7765	10325	9714
C14orf119	2930	1752	2105	1591	1824	2414	2152
LMLN2	3229	1	5	3	23	35	34
CEBPE	1554	1	0	0	1	1	2
SLC7A8	5991	14196	18285	12607	6631	8842	7516
RNU6-1138P	106	0	3	5	0	3	6
RNF212B	2059	7	11	10	6	11	13
AL049829.1	156	0	0	0	0	0	0
RNU6-1046P	107	0	0	0	0	0	0
HOMEZ	5534	264	347	276	528	756	721
H3F3AP2	1947	0	0	0	0	0	0
PPP1R3E	5548	73	54	52	252	408	391
BCL2L2	4189	472	573	421	699	964	880
BCL2L2-PABPN1	1548	9	7	8	25	38	33
PABPN1	3876	1365	1787	1104	1959	2774	2462
SLC22A17	4278	361	535	172	887	1161	940
EFS	3236	940	1370	587	2528	2984	2694
AL049829.2	285	0	0	0	0	1	0
IL25	1367	0	0	0	0	2	0
CMTM5	2910	0	0	0	22	27	17
MYH6	7281	3	3	0	7	6	9
MIR208A	71	0	0	0	0	0	0
MYH7	6027	0	0	0	7	0	9
AL132855.1	207	0	0	0	0	0	0
MIR208B	77	0	0	0	0	0	0
NGDN	4653	607	862	643	753	1039	1002
ZFHX2-AS1	5097	23	10	15	15	28	27
ZFHX2	10242	1050	1618	701	890	1130	1006
AL135999.2	1686	0	0	0	1	1	5
THTPA	2894	178	237	105	172	241	231
AP1G2	6897	721	1055	400	1028	1234	1245
AL135999.1	3243	10	17	12	37	71	58
JPH4	5297	892	1145	702	340	486	417
AL135999.3	812	0	0	1	1	1	1
DHRS2	7556	133	142	82	597	692	726
AL160237.1	3968	0	0	0	0	0	0
BRD7P1	1915	0	0	0	0	0	0
AL160237.3	1013	0	0	0	0	0	0
RN7SKP205	307	0	0	0	0	0	0
AL160237.2	472	0	0	0	0	0	0
AL136419.2	809	0	0	0	1	0	0
LINC00596	937	1	0	0	0	1	0
DHRS4-AS1	8445	278	376	371	477	733	617
DHRS4	2157	111	160	66	142	206	194
